date | value
1999-01-01 | 3
1998-01-01  | 3
324-01-01 | 3
2009-01-01 | 3
2009-01-02 | 0
2009-01-02 | 3
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-06 | 1.2
2011-01-07 | 1.2
2011-01-08 | 1.2
2011-01-09 | 1
2012-01-11 | 1.121
2111-01-01 | 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2012-01-11 | 1
2012-01-11 | 1234
2012-01-11 | 1000.000000000000001
2012-01-11 | 999.99------
2012-01-11 | 12332131313132131354548761131213210
2012-01-11 | 015815484602654616050132150406460160846321608746210684
2012-01-11 | -5543568413216874653137653211234
